Step,AliveRuns,AvgCommitters,AvgContributors
1,10000,1.00,0.01
2,9499,1.00,0.02
3,9034,1.00,0.03
4,8613,1.00,0.04
5,8242,1.00,0.05
6,7894,1.00,0.06
7,7561,1.00,0.07
8,7293,1.00,0.08
9,7037,1.00,0.09
10,6809,1.00,0.10
11,6597,1.00,0.11
12,6416,1.00,0.12
13,6237,1.00,0.12
14,6086,1.00,0.13
15,5959,1.00,0.14
16,5829,1.00,0.15
17,5723,1.01,0.16
18,5614,1.01,0.17
19,5521,1.01,0.18
20,5455,1.01,0.19
21,5367,1.01,0.20
22,5300,1.01,0.21
23,5236,1.01,0.22
24,5178,1.01,0.22
25,5138,1.01,0.23
26,5090,1.01,0.24
27,5044,1.01,0.25
28,5003,1.01,0.26
29,4964,1.01,0.27
30,4938,1.01,0.28
31,4903,1.01,0.29
32,4870,1.01,0.30
33,4841,1.02,0.31
34,4820,1.02,0.32
35,4798,1.02,0.33
36,4775,1.02,0.34
37,4746,1.02,0.35
38,4728,1.02,0.36
39,4708,1.02,0.37
40,4690,1.02,0.38
41,4674,1.02,0.39
42,4654,1.02,0.39
43,4631,1.03,0.40
44,4615,1.03,0.41
45,4595,1.03,0.42
46,4577,1.03,0.43
47,4564,1.03,0.44
48,4553,1.03,0.45
49,4540,1.03,0.46
50,4532,1.03,0.47
51,4518,1.03,0.48
52,4507,1.03,0.49
53,4497,1.04,0.49
54,4484,1.04,0.50
55,4472,1.04,0.51
56,4465,1.04,0.52
57,4455,1.04,0.53
58,4439,1.04,0.53
59,4429,1.04,0.54
60,4415,1.05,0.55
61,4400,1.05,0.56
62,4386,1.05,0.57
63,4375,1.05,0.58
64,4358,1.05,0.59
65,4347,1.05,0.60
66,4338,1.06,0.60
67,4327,1.06,0.61
68,4319,1.06,0.62
69,4308,1.06,0.63
70,4300,1.06,0.64
71,4289,1.06,0.65
72,4278,1.07,0.66
73,4265,1.07,0.66
74,4252,1.07,0.67
75,4240,1.07,0.68
76,4230,1.07,0.69
77,4218,1.07,0.70
78,4204,1.07,0.71
79,4195,1.08,0.72
80,4186,1.08,0.73
81,4175,1.08,0.74
82,4165,1.08,0.74
83,4152,1.09,0.75
84,4141,1.09,0.76
85,4133,1.09,0.77
86,4118,1.09,0.78
87,4109,1.09,0.78
88,4101,1.09,0.79
89,4091,1.10,0.80
90,4082,1.10,0.81
91,4065,1.10,0.82
92,4058,1.10,0.83
93,4049,1.11,0.83
94,4037,1.11,0.84
95,4026,1.11,0.85
96,4013,1.12,0.86
97,4003,1.12,0.87
98,3992,1.12,0.87
99,3981,1.12,0.88
100,3968,1.13,0.89
101,3962,1.13,0.89
102,3954,1.13,0.90
103,3944,1.13,0.91
104,3938,1.13,0.91
105,3930,1.14,0.92
106,3923,1.14,0.93
107,3911,1.14,0.94
108,3901,1.15,0.95
109,3890,1.15,0.95
110,3880,1.15,0.96
111,3871,1.15,0.97
112,3859,1.16,0.98
113,3852,1.16,0.98
114,3847,1.16,0.99
115,3838,1.17,1.00
116,3829,1.17,1.01
117,3824,1.17,1.01
118,3812,1.17,1.02
119,3804,1.17,1.03
120,3795,1.18,1.04
121,3785,1.18,1.05
122,3776,1.18,1.06
123,3770,1.18,1.07
124,3763,1.19,1.08
125,3754,1.19,1.09
126,3743,1.19,1.09
127,3737,1.19,1.10
128,3729,1.20,1.11
129,3722,1.20,1.12
130,3716,1.20,1.13
131,3710,1.20,1.13
132,3700,1.21,1.14
133,3690,1.21,1.14
134,3686,1.21,1.15
135,3678,1.22,1.15
136,3669,1.22,1.16
137,3664,1.22,1.17
138,3658,1.22,1.18
139,3651,1.23,1.19
140,3647,1.23,1.19
141,3639,1.23,1.20
142,3630,1.24,1.21
143,3626,1.24,1.21
144,3614,1.24,1.22
145,3607,1.24,1.23
146,3598,1.25,1.24
147,3589,1.25,1.24
148,3584,1.25,1.25
149,3576,1.25,1.26
150,3567,1.26,1.27
151,3558,1.26,1.28
152,3552,1.26,1.29
153,3547,1.27,1.30
154,3537,1.27,1.30
155,3529,1.27,1.31
156,3522,1.28,1.32
157,3516,1.28,1.32
158,3508,1.28,1.33
159,3503,1.29,1.34
160,3493,1.29,1.35
161,3488,1.29,1.35
162,3476,1.29,1.37
163,3467,1.30,1.38
164,3460,1.30,1.38
165,3453,1.30,1.39
166,3446,1.31,1.40
167,3441,1.31,1.41
168,3430,1.32,1.41
169,3425,1.32,1.42
170,3419,1.32,1.43
171,3412,1.33,1.44
172,3405,1.33,1.45
173,3398,1.33,1.45
174,3391,1.34,1.46
175,3386,1.34,1.46
176,3384,1.34,1.47
177,3376,1.35,1.47
178,3373,1.35,1.48
179,3369,1.36,1.49
180,3361,1.36,1.50
181,3353,1.36,1.50
182,3348,1.37,1.51
183,3345,1.37,1.52
184,3339,1.37,1.53
185,3334,1.38,1.54
186,3326,1.38,1.54
187,3321,1.38,1.54
188,3316,1.39,1.55
189,3311,1.39,1.56
190,3301,1.39,1.56
191,3294,1.40,1.57
192,3288,1.40,1.58
193,3279,1.41,1.58
194,3277,1.41,1.59
195,3270,1.41,1.60
196,3262,1.42,1.61
197,3258,1.42,1.62
198,3252,1.42,1.63
199,3246,1.43,1.63
200,3238,1.43,1.64
201,3232,1.44,1.64
202,3229,1.44,1.65
203,3221,1.44,1.66
204,3217,1.45,1.66
205,3207,1.45,1.67
206,3201,1.46,1.67
207,3198,1.46,1.68
208,3196,1.46,1.69
209,3189,1.47,1.70
210,3187,1.47,1.70
211,3180,1.48,1.71
212,3175,1.48,1.72
213,3167,1.49,1.73
