Step,AliveRuns,AvgCommitters,AvgContributors
1,10000,3.00,0.01
2,10000,3.00,0.02
3,9988,3.00,0.03
4,9972,3.00,0.04
5,9945,3.00,0.05
6,9912,3.00,0.06
7,9876,3.00,0.07
8,9845,3.00,0.08
9,9813,3.00,0.09
10,9769,3.00,0.10
11,9721,3.00,0.10
12,9670,3.00,0.12
13,9635,3.00,0.12
14,9592,3.00,0.13
15,9554,3.00,0.15
16,9508,3.01,0.16
17,9471,3.01,0.16
18,9426,3.01,0.17
19,9391,3.01,0.18
20,9361,3.01,0.19
21,9330,3.01,0.20
22,9309,3.01,0.21
23,9285,3.01,0.22
24,9261,3.01,0.22
25,9238,3.01,0.23
26,9219,3.01,0.24
27,9195,3.02,0.25
28,9169,3.02,0.26
29,9152,3.02,0.27
30,9133,3.02,0.27
31,9111,3.02,0.28
32,9100,3.02,0.29
33,9085,3.02,0.30
34,9074,3.03,0.31
35,9066,3.03,0.32
36,9049,3.03,0.33
37,9035,3.03,0.33
38,9027,3.03,0.34
39,9019,3.03,0.35
40,9009,3.03,0.36
41,8993,3.04,0.37
42,8986,3.04,0.38
43,8979,3.04,0.39
44,8973,3.04,0.40
45,8967,3.04,0.41
46,8963,3.05,0.41
47,8957,3.05,0.42
48,8950,3.05,0.43
49,8940,3.05,0.44
50,8934,3.05,0.45
51,8921,3.06,0.45
52,8913,3.06,0.46
53,8902,3.06,0.47
54,8895,3.06,0.47
55,8889,3.07,0.48
56,8887,3.07,0.49
57,8878,3.07,0.50
58,8874,3.07,0.50
59,8865,3.08,0.51
60,8858,3.08,0.52
61,8855,3.08,0.53
62,8850,3.08,0.53
63,8847,3.09,0.54
64,8844,3.09,0.55
65,8837,3.09,0.56
66,8831,3.09,0.56
67,8827,3.10,0.57
68,8825,3.10,0.58
69,8818,3.10,0.58
70,8812,3.10,0.59
71,8809,3.11,0.60
72,8806,3.11,0.60
73,8803,3.11,0.61
74,8796,3.11,0.62
75,8791,3.12,0.63
76,8787,3.12,0.63
77,8779,3.12,0.64
78,8773,3.12,0.64
