Step,AliveRuns,AvgCommitters,AvgContributors
1,10000,1.00,0.20
2,9500,1.00,0.39
3,9017,1.00,0.59
4,8609,1.00,0.79
5,8240,1.00,0.98
6,7911,1.01,1.18
7,7610,1.01,1.39
8,7319,1.01,1.59
9,7052,1.01,1.78
10,6855,1.02,1.98
11,6662,1.02,2.17
12,6475,1.02,2.38
13,6329,1.03,2.57
14,6193,1.04,2.77
15,6046,1.04,2.95
16,5927,1.05,3.15
17,5824,1.05,3.34
18,5740,1.06,3.53
19,5651,1.07,3.71
20,5559,1.08,3.90
21,5481,1.09,4.09
22,5414,1.09,4.29
23,5350,1.10,4.49
24,5298,1.11,4.68
25,5251,1.12,4.87
26,5207,1.13,5.07
27,5168,1.14,5.26
28,5122,1.15,5.46
29,5096,1.16,5.65
30,5051,1.17,5.84
31,5020,1.17,6.03
32,4992,1.19,6.21
33,4970,1.20,6.39
34,4955,1.21,6.58
35,4935,1.22,6.77
36,4917,1.22,6.96
37,4898,1.23,7.15
38,4875,1.24,7.33
39,4851,1.25,7.52
40,4838,1.26,7.71
41,4825,1.28,7.90
42,4807,1.29,8.09
43,4796,1.30,8.28
44,4785,1.32,8.47
45,4774,1.33,8.65
46,4765,1.34,8.84
47,4756,1.35,9.02
48,4736,1.37,9.22
49,4731,1.38,9.41
50,4726,1.39,9.61
51,4712,1.41,9.78
52,4698,1.42,9.98
53,4686,1.43,10.15
54,4674,1.45,10.33
55,4665,1.46,10.52
56,4657,1.48,10.70
57,4646,1.49,10.89
58,4640,1.50,11.08
59,4636,1.52,11.26
60,4629,1.53,11.44
61,4621,1.55,11.62
62,4613,1.56,11.81
63,4601,1.57,12.01
64,4593,1.59,12.20
65,4581,1.61,12.39
66,4571,1.62,12.57
67,4566,1.64,12.75
68,4560,1.65,12.94
69,4555,1.67,13.13
70,4545,1.68,13.32
71,4538,1.70,13.50
72,4530,1.72,13.69
73,4526,1.74,13.88
74,4523,1.75,14.07
75,4515,1.77,14.27
76,4509,1.78,14.45
77,4503,1.80,14.63
78,4500,1.82,14.81
79,4492,1.84,15.00
80,4483,1.86,15.18
81,4477,1.88,15.37
82,4469,1.90,15.54
83,4460,1.92,15.73
84,4453,1.94,15.91
85,4448,1.95,16.09
86,4446,1.97,16.26
87,4441,1.99,16.44
88,4434,2.00,16.62
89,4428,2.02,16.80
90,4421,2.04,17.00
91,4411,2.07,17.19
92,4408,2.08,17.37
93,4404,2.11,17.54
94,4401,2.13,17.72
95,4396,2.15,17.91
96,4392,2.17,18.09
97,4390,2.19,18.27
98,4383,2.21,18.45
99,4372,2.24,18.63
100,4369,2.26,18.79
101,4366,2.28,18.98
102,4360,2.30,19.16
103,4356,2.32,19.35
104,4352,2.35,19.52
105,4345,2.37,19.71
106,4338,2.40,19.87
107,4332,2.43,20.04
108,4325,2.46,20.21
109,4319,2.48,20.39
110,4314,2.50,20.57
111,4309,2.52,20.75
112,4307,2.55,20.91
113,4301,2.57,21.10
114,4296,2.60,21.28
115,4292,2.63,21.45
116,4288,2.65,21.62
117,4285,2.68,21.80
118,4282,2.71,21.97
119,4282,2.73,22.15
120,4277,2.76,22.32
121,4273,2.79,22.48
122,4267,2.81,22.67
123,4264,2.84,22.84
124,4258,2.87,22.99
125,4255,2.90,23.15
126,4250,2.93,23.31
127,4246,2.96,23.49
128,4245,2.99,23.67
129,4242,3.02,23.84
130,4238,3.04,24.01
131,4236,3.08,24.17
132,4232,3.10,24.35
133,4228,3.13,24.52
134,4220,3.16,24.69
135,4217,3.19,24.85
136,4215,3.23,25.02
137,4213,3.26,25.18
138,4209,3.29,25.35
139,4208,3.32,25.53
140,4204,3.35,25.69
141,4200,3.38,25.86
142,4197,3.41,26.02
143,4193,3.44,26.20
144,4192,3.48,26.35
145,4189,3.51,26.52
146,4186,3.54,26.70
147,4185,3.57,26.85
148,4178,3.61,27.02
149,4176,3.65,27.19
150,4173,3.69,27.35
151,4171,3.72,27.51
152,4170,3.76,27.68
153,4167,3.80,27.85
154,4166,3.83,28.02
155,4162,3.87,28.18
156,4161,3.90,28.36
157,4157,3.93,28.53
158,4156,3.98,28.69
159,4153,4.02,28.83
160,4147,4.06,28.98
161,4146,4.10,29.16
162,4144,4.14,29.31
163,4142,4.18,29.49
164,4139,4.22,29.65
165,4138,4.26,29.82
166,4137,4.31,29.98
167,4137,4.34,30.15
168,4133,4.38,30.31
169,4127,4.43,30.47
170,4125,4.46,30.63
171,4124,4.50,30.78
172,4122,4.55,30.93
173,4120,4.59,31.09
174,4117,4.64,31.24
175,4116,4.69,31.38
176,4116,4.73,31.54
177,4116,4.77,31.70
178,4116,4.82,31.85
179,4113,4.87,31.99
180,4112,4.91,32.15
181,4110,4.95,32.31
182,4109,5.00,32.47
183,4106,5.05,32.61
184,4106,5.10,32.77
185,4104,5.14,32.91
186,4101,5.20,33.05
187,4100,5.24,33.20
188,4100,5.29,33.34
189,4097,5.34,33.50
190,4095,5.38,33.65
191,4091,5.44,33.78
192,4090,5.49,33.93
193,4087,5.53,34.09
194,4087,5.58,34.24
195,4083,5.64,34.38
196,4082,5.70,34.52
197,4081,5.75,34.66
198,4080,5.81,34.81
199,4079,5.86,34.96
200,4078,5.91,35.12
201,4076,5.96,35.26
202,4074,6.02,35.40
203,4074,6.08,35.53
204,4073,6.14,35.68
205,4071,6.19,35.81
206,4071,6.24,35.97
207,4068,6.31,36.10
208,4068,6.37,36.25
209,4066,6.43,36.40
210,4066,6.49,36.53
211,4066,6.54,36.68
212,4064,6.61,36.82
213,4064,6.67,36.96
214,4063,6.73,37.10
215,4061,6.79,37.24
216,4061,6.85,37.38
217,4061,6.91,37.52
218,4061,6.98,37.66
219,4059,7.04,37.79
220,4058,7.10,37.94
221,4057,7.17,38.07
222,4055,7.23,38.20
223,4053,7.30,38.33
224,4053,7.37,38.46
225,4053,7.43,38.59
226,4050,7.50,38.73
227,4048,7.57,38.85
228,4048,7.64,38.98
229,4048,7.70,39.11
230,4048,7.76,39.27
231,4047,7.83,39.40
232,4046,7.89,39.53
233,4046,7.95,39.66
234,4046,8.03,39.79
235,4045,8.09,39.92
236,4045,8.15,40.05
237,4045,8.22,40.18
238,4044,8.29,40.31
239,4043,8.36,40.45
240,4042,8.43,40.57
241,4040,8.51,40.68
242,4038,8.59,40.81
243,4036,8.66,40.95
244,4036,8.73,41.08
245,4036,8.80,41.23
246,4035,8.87,41.36
247,4033,8.95,41.49
248,4032,9.02,41.62
249,4031,9.10,41.74
250,4031,9.18,41.85
251,4030,9.25,41.98
252,4029,9.34,42.09
253,4029,9.42,42.21
254,4029,9.49,42.33
255,4028,9.58,42.44
256,4027,9.65,42.55
257,4027,9.73,42.67
258,4027,9.81,42.77
259,4027,9.89,42.89
260,4027,9.97,43.00
261,4027,10.05,43.12
262,4027,10.13,43.24
263,4026,10.22,43.35
264,4025,10.30,43.49
265,4025,10.38,43.60
266,4025,10.47,43.72
267,4024,10.55,43.85
268,4023,10.63,43.97
269,4022,10.71,44.10
270,4022,10.79,44.21
271,4022,10.86,44.36
272,4021,10.95,44.46
273,4020,11.03,44.59
274,4020,11.12,44.70
275,4020,11.20,44.81
276,4020,11.28,44.93
277,4020,11.37,45.04
278,4019,11.46,45.15
279,4019,11.55,45.28
280,4019,11.64,45.38
281,4019,11.73,45.49
282,4019,11.83,45.59
283,4018,11.92,45.71
284,4018,12.00,45.81
285,4016,12.10,45.92
286,4016,12.19,46.03
287,4015,12.28,46.12
288,4015,12.38,46.24
289,4014,12.47,46.35
290,4014,12.56,46.45
291,4014,12.65,46.57
292,4014,12.74,46.68
293,4014,12.83,46.81
294,4013,12.92,46.91
295,4013,13.01,47.03
296,4013,13.10,47.13
297,4013,13.20,47.23
298,4012,13.29,47.34
299,4012,13.38,47.44
300,4012,13.48,47.56
301,4012,13.57,47.67
302,4012,13.66,47.77
303,4012,13.76,47.87
304,4012,13.86,47.98
305,4012,13.95,48.08
306,4012,14.04,48.19
307,4012,14.13,48.30
308,4011,14.24,48.41
309,4010,14.34,48.51
310,4010,14.44,48.62
311,4009,14.55,48.72
312,4009,14.65,48.81
313,4009,14.74,48.92
314,4009,14.83,49.03
315,4008,14.94,49.12
316,4008,15.04,49.23
317,4008,15.14,49.33
318,4008,15.24,49.43
319,4008,15.34,49.53
320,4007,15.44,49.62
321,4007,15.56,49.70
322,4006,15.66,49.80
323,4006,15.76,49.91
324,4006,15.86,50.00
325,4006,15.97,50.10
326,4005,16.07,50.20
327,4005,16.17,50.30
328,4005,16.27,50.41
329,4005,16.37,50.51
330,4004,16.48,50.62
331,4004,16.58,50.71
332,4004,16.69,50.82
333,4004,16.79,50.90
334,4004,16.90,51.00
335,4004,16.99,51.11
336,4004,17.11,51.20
337,4003,17.20,51.31
338,4003,17.30,51.41
339,4003,17.42,51.49
340,4003,17.52,51.58
341,4003,17.63,51.67
342,4003,17.74,51.76
343,4003,17.84,51.86
344,4003,17.95,51.94
345,4003,18.05,52.04
346,4003,18.16,52.12
347,4003,18.25,52.23
348,4003,18.36,52.31
349,4002,18.47,52.40
350,4002,18.57,52.49
351,4002,18.67,52.60
352,4002,18.78,52.68
353,4002,18.88,52.79
354,4002,19.00,52.89
355,4002,19.10,52.98
356,4002,19.21,53.05
357,4002,19.32,53.14
358,4002,19.43,53.24
359,4002,19.55,53.34
360,4001,19.67,53.43
361,4001,19.78,53.51
362,4001,19.89,53.60
363,4001,20.00,53.70
364,4001,20.11,53.79
365,4001,20.22,53.88
366,4001,20.32,53.98
367,4001,20.44,54.06
368,4001,20.56,54.14
369,4001,20.66,54.23
370,4001,20.77,54.32
371,4001,20.88,54.41
372,4001,20.99,54.50
373,4001,21.09,54.59
374,4000,21.20,54.69
375,4000,21.31,54.79
376,3999,21.42,54.88
377,3999,21.52,54.99
378,3999,21.63,55.10
379,3999,21.75,55.18
380,3999,21.86,55.26
381,3999,21.97,55.35
382,3999,22.08,55.43
383,3999,22.20,55.51
384,3999,22.31,55.60
385,3999,22.41,55.69
386,3999,22.52,55.79
387,3999,22.63,55.88
388,3999,22.74,55.99
389,3999,22.84,56.08
390,3999,22.96,56.16
391,3999,23.06,56.26
392,3999,23.17,56.35
393,3999,23.28,56.45
394,3999,23.40,56.53
395,3999,23.50,56.62
396,3999,23.61,56.71
397,3999,23.72,56.79
398,3999,23.82,56.89
399,3999,23.93,56.98
400,3999,24.04,57.07
401,3999,24.16,57.15
402,3999,24.27,57.24
403,3999,24.37,57.33
404,3999,24.48,57.42
405,3999,24.59,57.49
406,3999,24.71,57.57
407,3999,24.82,57.67
408,3998,24.94,57.74
409,3998,25.05,57.84
410,3998,25.17,57.93
411,3998,25.27,58.02
412,3998,25.38,58.11
413,3998,25.48,58.20
414,3998,25.59,58.29
415,3998,25.71,58.37
416,3998,25.82,58.46
417,3998,25.93,58.53
418,3997,26.04,58.63
419,3997,26.15,58.71
420,3997,26.26,58.80
421,3997,26.37,58.88
422,3996,26.49,58.98
423,3996,26.59,59.07
424,3995,26.71,59.15
425,3995,26.82,59.23
426,3995,26.92,59.34
427,3995,27.02,59.44
428,3995,27.14,59.52
429,3995,27.25,59.61
430,3995,27.36,59.71
431,3995,27.46,59.79
432,3995,27.57,59.90
433,3995,27.68,60.00
434,3995,27.79,60.09
435,3995,27.91,60.17
436,3995,28.03,60.26
437,3995,28.13,60.35
438,3995,28.25,60.43
439,3995,28.38,60.51
440,3995,28.48,60.61
441,3995,28.59,60.68
442,3995,28.69,60.78
443,3995,28.80,60.89
444,3995,28.90,60.97
445,3995,29.01,61.06
446,3995,29.11,61.15
447,3995,29.21,61.26
448,3995,29.32,61.36
449,3995,29.42,61.45
450,3995,29.54,61.53
451,3995,29.64,61.64
452,3995,29.75,61.74
453,3995,29.86,61.82
454,3995,29.97,61.92
455,3995,30.07,62.00
456,3995,30.19,62.08
457,3995,30.30,62.17
458,3995,30.41,62.26
459,3995,30.51,62.35
460,3995,30.62,62.44
461,3995,30.73,62.53
462,3995,30.83,62.64
463,3994,30.95,62.73
464,3994,31.06,62.82
465,3994,31.16,62.92
466,3994,31.26,63.03
467,3994,31.37,63.11
468,3994,31.48,63.21
469,3994,31.58,63.31
470,3994,31.69,63.40
471,3994,31.80,63.48
