Step,AliveRuns,AvgCommitters,AvgContributors
1,10000,1.00,0.01
2,9504,1.00,0.02
3,9042,1.00,0.03
4,8612,1.00,0.04
5,8225,1.00,0.05
6,7894,1.00,0.06
7,7645,1.00,0.07
8,7366,1.00,0.08
9,7115,1.00,0.09
10,6890,1.00,0.10
11,6707,1.00,0.11
12,6518,1.00,0.12
13,6339,1.00,0.13
14,6192,1.00,0.14
15,6050,1.00,0.15
16,5933,1.00,0.16
17,5815,1.00,0.17
18,5713,1.00,0.18
19,5628,1.00,0.18
20,5533,1.00,0.19
21,5463,1.00,0.20
22,5391,1.00,0.21
23,5324,1.00,0.22
24,5262,1.00,0.23
25,5205,1.00,0.24
26,5143,1.00,0.26
27,5100,1.00,0.27
28,5063,1.00,0.28
29,5022,1.00,0.29
30,4975,1.00,0.30
31,4937,1.00,0.31
32,4908,1.00,0.32
33,4880,1.00,0.33
34,4851,1.00,0.34
35,4817,1.00,0.35
36,4789,1.00,0.36
37,4759,1.00,0.37
38,4743,1.00,0.38
39,4719,1.00,0.39
40,4702,1.00,0.40
41,4678,1.00,0.41
42,4664,1.00,0.42
43,4638,1.00,0.43
44,4619,1.00,0.44
45,4594,1.00,0.45
46,4575,1.00,0.46
47,4564,1.00,0.47
48,4547,1.00,0.48
49,4538,1.00,0.49
50,4523,1.00,0.50
51,4510,1.00,0.51
52,4494,1.00,0.52
53,4477,1.00,0.53
54,4459,1.00,0.54
55,4447,1.00,0.55
56,4438,1.00,0.55
57,4430,1.00,0.56
58,4416,1.00,0.57
59,4408,1.00,0.58
60,4394,1.00,0.59
61,4385,1.00,0.60
62,4374,1.00,0.61
63,4360,1.00,0.62
64,4353,1.00,0.63
65,4340,1.00,0.64
66,4331,1.00,0.65
67,4321,1.00,0.66
68,4312,1.00,0.67
69,4303,1.00,0.68
70,4293,1.00,0.69
71,4284,1.00,0.70
72,4276,1.00,0.71
73,4262,1.00,0.72
74,4248,1.00,0.73
75,4236,1.00,0.74
76,4227,1.00,0.75
77,4220,1.00,0.76
78,4213,1.00,0.77
79,4203,1.00,0.78
80,4194,1.00,0.79
81,4183,1.00,0.80
82,4174,1.00,0.81
83,4166,1.00,0.82
84,4154,1.00,0.83
85,4141,1.00,0.84
86,4131,1.00,0.85
87,4120,1.00,0.86
88,4115,1.00,0.87
89,4103,1.00,0.88
90,4091,1.00,0.89
91,4082,1.00,0.90
92,4066,1.00,0.92
93,4057,1.00,0.92
94,4051,1.00,0.94
95,4046,1.00,0.95
96,4036,1.00,0.96
97,4020,1.00,0.97
98,4010,1.00,0.98
99,4003,1.00,0.99
100,3993,1.00,1.00
101,3982,1.00,1.01
102,3977,1.00,1.02
103,3967,1.00,1.03
104,3954,1.00,1.04
105,3942,1.00,1.05
106,3934,1.00,1.06
107,3927,1.00,1.07
108,3922,1.00,1.08
109,3909,1.00,1.09
110,3900,1.00,1.10
111,3886,1.00,1.11
112,3872,1.00,1.12
113,3861,1.00,1.13
114,3854,1.00,1.15
115,3847,1.00,1.16
116,3838,1.00,1.17
117,3829,1.00,1.18
118,3815,1.00,1.19
119,3808,1.00,1.20
120,3798,1.00,1.21
121,3784,1.00,1.22
122,3779,1.00,1.22
123,3772,1.00,1.23
124,3757,1.00,1.25
125,3749,1.00,1.25
126,3739,1.00,1.26
127,3733,1.00,1.27
128,3720,1.00,1.28
129,3708,1.00,1.29
130,3700,1.00,1.30
131,3690,1.00,1.30
132,3677,1.00,1.31
133,3664,1.00,1.32
134,3651,1.00,1.33
135,3639,1.00,1.34
136,3629,1.00,1.35
137,3618,1.00,1.36
138,3611,1.00,1.37
139,3601,1.00,1.38
140,3591,1.00,1.39
141,3582,1.00,1.40
142,3571,1.00,1.41
143,3561,1.00,1.43
144,3554,1.00,1.44
145,3546,1.00,1.44
146,3538,1.00,1.45
147,3531,1.00,1.46
148,3522,1.00,1.47
149,3516,1.00,1.48
150,3511,1.00,1.49
151,3500,1.00,1.50
152,3492,1.00,1.51
153,3485,1.00,1.52
154,3475,1.00,1.53
155,3465,1.00,1.53
156,3463,1.00,1.55
157,3452,1.00,1.55
158,3442,1.00,1.56
159,3429,1.00,1.57
160,3420,1.00,1.58
161,3413,1.00,1.59
162,3399,1.00,1.60
163,3387,1.00,1.62
164,3379,1.00,1.63
165,3362,1.00,1.63
166,3345,1.00,1.65
167,3336,1.00,1.66
168,3329,1.00,1.67
169,3322,1.00,1.68
170,3314,1.00,1.69
171,3306,1.00,1.70
172,3293,1.00,1.71
173,3281,1.00,1.73
174,3268,1.00,1.74
175,3261,1.00,1.74
176,3251,1.00,1.75
177,3240,1.00,1.76
178,3233,1.00,1.77
179,3226,1.00,1.78
180,3219,1.00,1.79
181,3211,1.00,1.81
182,3203,1.00,1.82
183,3193,1.00,1.83
184,3184,1.00,1.84
185,3175,1.00,1.85
186,3161,1.00,1.86
187,3154,1.00,1.87
188,3142,1.00,1.88
189,3136,1.00,1.89
190,3129,1.00,1.90
191,3123,1.00,1.91
192,3115,1.00,1.92
193,3110,1.00,1.93
194,3103,1.00,1.94
195,3097,1.00,1.95
196,3090,1.00,1.96
197,3083,1.00,1.97
198,3077,1.00,1.98
199,3070,1.00,1.99
200,3063,1.00,2.00
201,3054,1.00,2.00
202,3046,1.00,2.01
203,3040,1.00,2.02
204,3032,1.00,2.03
205,3018,1.00,2.04
206,3008,1.00,2.05
207,3003,1.00,2.06
208,2993,1.00,2.06
209,2984,1.00,2.07
210,2978,1.00,2.09
211,2974,1.00,2.09
212,2960,1.00,2.11
213,2951,1.00,2.11
214,2943,1.00,2.12
215,2934,1.00,2.13
216,2917,1.00,2.14
217,2909,1.00,2.15
218,2898,1.00,2.16
219,2890,1.00,2.17
220,2884,1.00,2.19
221,2878,1.00,2.19
222,2870,1.00,2.20
223,2864,1.00,2.21
224,2857,1.00,2.22
225,2849,1.00,2.23
226,2841,1.00,2.23
227,2832,1.00,2.24
228,2827,1.00,2.26
229,2813,1.00,2.26
230,2806,1.00,2.27
231,2790,1.00,2.28
232,2784,1.00,2.29
233,2778,1.00,2.30
234,2772,1.00,2.31
235,2764,1.00,2.32
236,2750,1.00,2.33
237,2745,1.00,2.34
238,2740,1.00,2.35
239,2736,1.00,2.36
240,2728,1.00,2.37
241,2724,1.00,2.39
242,2718,1.00,2.40
243,2711,1.00,2.41
244,2704,1.00,2.42
245,2697,1.00,2.43
246,2694,1.00,2.44
247,2689,1.00,2.45
248,2684,1.00,2.46
249,2676,1.00,2.47
250,2673,1.00,2.48
251,2666,1.00,2.48
252,2661,1.00,2.49
253,2654,1.00,2.50
254,2644,1.00,2.50
255,2634,1.00,2.51
256,2622,1.00,2.53
257,2612,1.00,2.54
258,2606,1.00,2.55
259,2600,1.00,2.56
260,2592,1.00,2.57
261,2587,1.00,2.58
262,2580,1.00,2.60
263,2572,1.00,2.61
264,2568,1.00,2.61
265,2560,1.00,2.63
266,2553,1.00,2.64
267,2549,1.00,2.65
268,2543,1.00,2.66
269,2540,1.00,2.67
270,2536,1.00,2.68
271,2531,1.00,2.68
272,2523,1.00,2.69
273,2518,1.00,2.70
274,2509,1.00,2.71
275,2508,1.00,2.72
276,2494,1.00,2.73
277,2489,1.00,2.74
278,2483,1.00,2.75
279,2477,1.00,2.76
280,2475,1.00,2.77
281,2469,1.00,2.77
282,2458,1.00,2.78
283,2455,1.00,2.80
284,2447,1.00,2.80
285,2443,1.00,2.81
286,2438,1.00,2.82
287,2433,1.00,2.84
288,2429,1.00,2.84
289,2421,1.00,2.86
290,2416,1.00,2.86
291,2407,1.00,2.87
292,2400,1.00,2.89
293,2395,1.00,2.90
294,2386,1.00,2.91
295,2382,1.00,2.92
296,2378,1.00,2.92
297,2374,1.00,2.94
298,2370,1.00,2.94
299,2363,1.00,2.95
300,2357,1.00,2.96
301,2352,1.00,2.97
302,2344,1.00,2.98
303,2340,1.00,2.99
304,2330,1.00,3.00
305,2318,1.00,3.01
306,2308,1.00,3.02
307,2299,1.00,3.03
308,2294,1.00,3.04
309,2289,1.00,3.05
310,2285,1.00,3.07
311,2280,1.00,3.08
312,2275,1.00,3.09
313,2264,1.00,3.10
314,2260,1.00,3.11
315,2257,1.00,3.12
316,2248,1.00,3.13
317,2241,1.00,3.14
318,2235,1.00,3.15
319,2229,1.00,3.15
320,2223,1.00,3.16
321,2215,1.00,3.17
322,2208,1.00,3.18
323,2200,1.00,3.19
324,2193,1.00,3.21
325,2189,1.00,3.21
326,2187,1.00,3.22
327,2181,1.00,3.23
328,2175,1.00,3.24
329,2171,1.00,3.25
330,2170,1.00,3.26
331,2165,1.00,3.27
332,2162,1.00,3.28
333,2158,1.00,3.29
334,2146,1.00,3.30
335,2140,1.00,3.31
336,2137,1.00,3.31
337,2131,1.00,3.33
338,2127,1.00,3.34
339,2121,1.00,3.35
340,2115,1.00,3.36
341,2112,1.00,3.37
342,2110,1.00,3.38
343,2108,1.00,3.39
344,2104,1.00,3.40
345,2097,1.00,3.40
346,2094,1.00,3.41
347,2089,1.00,3.41
348,2086,1.00,3.43
349,2080,1.00,3.44
350,2074,1.00,3.45
351,2071,1.00,3.45
352,2070,1.00,3.47
353,2067,1.00,3.48
354,2059,1.00,3.49
355,2053,1.00,3.49
356,2050,1.00,3.50
357,2042,1.00,3.51
358,2039,1.00,3.51
359,2037,1.00,3.52
360,2036,1.00,3.53
361,2030,1.00,3.54
362,2027,1.00,3.55
363,2022,1.00,3.57
364,2018,1.00,3.58
365,2014,1.00,3.59
366,2009,1.00,3.60
367,2002,1.00,3.60
368,1997,1.00,3.61
369,1991,1.00,3.62
370,1987,1.00,3.63
371,1978,1.00,3.63
372,1973,1.00,3.64
373,1968,1.00,3.64
374,1963,1.00,3.66
375,1958,1.00,3.67
376,1951,1.00,3.68
377,1946,1.00,3.68
378,1941,1.00,3.69
379,1938,1.00,3.70
380,1932,1.00,3.72
381,1926,1.00,3.73
382,1921,1.00,3.74
383,1916,1.00,3.76
384,1910,1.00,3.77
385,1903,1.00,3.78
386,1900,1.00,3.79
387,1896,1.00,3.80
388,1888,1.00,3.81
389,1884,1.00,3.82
390,1878,1.00,3.83
391,1873,1.00,3.84
392,1868,1.00,3.85
393,1861,1.00,3.85
394,1856,1.00,3.86
395,1852,1.00,3.87
396,1850,1.00,3.88
397,1845,1.00,3.89
398,1841,1.00,3.90
399,1834,1.00,3.92
400,1828,1.00,3.93
401,1823,1.00,3.93
402,1819,1.00,3.94
403,1814,1.00,3.96
404,1811,1.00,3.97
405,1808,1.00,3.98
406,1802,1.00,3.99
407,1797,1.00,4.00
408,1793,1.00,4.01
409,1790,1.00,4.01
410,1784,1.00,4.02
411,1780,1.00,4.03
412,1776,1.00,4.04
413,1770,1.00,4.05
414,1761,1.00,4.06
415,1756,1.00,4.07
416,1750,1.00,4.08
417,1744,1.00,4.09
418,1741,1.00,4.10
419,1735,1.00,4.11
420,1729,1.00,4.12
421,1728,1.00,4.13
422,1724,1.00,4.14
423,1716,1.00,4.15
424,1709,1.00,4.16
425,1707,1.00,4.18
426,1701,1.00,4.19
427,1696,1.00,4.19
428,1691,1.00,4.20
429,1687,1.00,4.21
430,1683,1.00,4.23
431,1675,1.00,4.23
432,1668,1.00,4.24
433,1661,1.00,4.24
434,1659,1.00,4.26
435,1657,1.00,4.27
436,1652,1.00,4.28
437,1644,1.00,4.28
438,1642,1.00,4.29
439,1636,1.00,4.31
440,1632,1.00,4.31
441,1627,1.00,4.32
442,1621,1.00,4.33
443,1618,1.00,4.34
444,1615,1.00,4.35
445,1610,1.00,4.36
446,1608,1.00,4.37
447,1606,1.00,4.38
448,1601,1.00,4.39
449,1601,1.00,4.40
450,1600,1.00,4.41
451,1594,1.00,4.42
452,1587,1.00,4.43
453,1578,1.00,4.44
454,1576,1.00,4.45
455,1574,1.00,4.46
456,1571,1.00,4.47
457,1567,1.00,4.48
458,1563,1.00,4.50
459,1558,1.00,4.51
460,1551,1.00,4.52
461,1547,1.00,4.53
462,1546,1.00,4.54
463,1545,1.00,4.55
464,1540,1.00,4.57
465,1536,1.00,4.58
466,1532,1.00,4.59
467,1525,1.00,4.60
468,1518,1.00,4.60
469,1512,1.00,4.61
470,1505,1.00,4.61
471,1500,1.00,4.62
472,1495,1.00,4.64
473,1492,1.00,4.64
474,1489,1.00,4.65
475,1484,1.00,4.67
476,1479,1.00,4.67
477,1478,1.00,4.68
478,1476,1.00,4.69
479,1474,1.00,4.70
480,1470,1.00,4.72
481,1466,1.00,4.72
482,1460,1.00,4.73
483,1454,1.00,4.74
484,1451,1.00,4.76
485,1447,1.00,4.76
486,1443,1.00,4.78
487,1437,1.00,4.79
488,1435,1.00,4.80
489,1427,1.00,4.81
490,1424,1.00,4.81
491,1422,1.00,4.82
492,1418,1.00,4.83
493,1413,1.00,4.84
494,1403,1.00,4.86
495,1401,1.00,4.87
496,1400,1.00,4.88
497,1391,1.00,4.89
498,1390,1.00,4.90
499,1386,1.00,4.92
500,1379,1.00,4.93
501,1374,1.00,4.93
502,1368,1.00,4.94
503,1365,1.00,4.96
504,1359,1.00,4.96
505,1355,1.00,4.98
506,1352,1.00,5.00
507,1344,1.00,5.00
508,1340,1.00,5.01
509,1337,1.00,5.03
510,1335,1.00,5.04
511,1333,1.00,5.06
512,1332,1.00,5.07
513,1328,1.00,5.07
514,1324,1.00,5.08
515,1317,1.00,5.09
516,1312,1.00,5.10
517,1305,1.00,5.11
518,1303,1.00,5.12
519,1300,1.00,5.13
520,1299,1.00,5.14
521,1290,1.00,5.14
522,1284,1.00,5.15
523,1276,1.00,5.16
524,1275,1.00,5.17
525,1272,1.00,5.18
526,1268,1.00,5.19
527,1264,1.00,5.20
528,1261,1.00,5.21
529,1258,1.00,5.21
530,1253,1.00,5.22
531,1247,1.00,5.23
532,1246,1.00,5.23
533,1242,1.00,5.24
534,1239,1.00,5.26
535,1233,1.00,5.26
536,1231,1.00,5.28
537,1229,1.00,5.29
538,1223,1.00,5.30
539,1219,1.00,5.31
540,1214,1.00,5.31
541,1213,1.00,5.32
542,1213,1.00,5.33
543,1210,1.00,5.34
544,1206,1.00,5.34
545,1205,1.00,5.35
546,1200,1.00,5.36
547,1193,1.00,5.38
548,1192,1.00,5.39
549,1190,1.00,5.40
550,1187,1.00,5.41
551,1182,1.00,5.41
552,1179,1.00,5.42
553,1177,1.00,5.43
554,1174,1.00,5.44
555,1171,1.00,5.45
556,1164,1.00,5.47
557,1158,1.00,5.48
558,1155,1.00,5.48
559,1153,1.00,5.49
560,1148,1.00,5.51
561,1145,1.00,5.52
562,1142,1.00,5.54
563,1139,1.00,5.55
564,1134,1.00,5.55
565,1133,1.00,5.56
566,1130,1.00,5.57
567,1127,1.00,5.58
568,1125,1.00,5.59
569,1124,1.00,5.60
570,1122,1.00,5.61
571,1120,1.00,5.61
572,1118,1.00,5.62
573,1118,1.00,5.63
574,1117,1.00,5.64
575,1113,1.00,5.65
576,1112,1.00,5.66
577,1112,1.00,5.67
578,1110,1.00,5.68
579,1106,1.00,5.68
580,1105,1.00,5.69
581,1101,1.00,5.71
582,1097,1.00,5.71
583,1097,1.00,5.72
584,1094,1.00,5.73
585,1089,1.00,5.73
586,1087,1.00,5.75
587,1082,1.00,5.76
588,1078,1.00,5.76
589,1071,1.00,5.78
590,1068,1.00,5.79
591,1064,1.00,5.80
592,1062,1.00,5.82
593,1060,1.00,5.83
594,1058,1.00,5.83
595,1055,1.00,5.85
596,1049,1.00,5.87
597,1044,1.00,5.88
598,1043,1.00,5.88
599,1041,1.00,5.89
600,1036,1.00,5.90
601,1030,1.00,5.90
602,1029,1.00,5.91
603,1028,1.00,5.92
604,1026,1.00,5.94
605,1025,1.00,5.96
606,1019,1.00,5.96
607,1017,1.00,5.98
608,1014,1.00,5.98
609,1012,1.00,5.99
610,1012,1.00,6.00
611,1008,1.00,6.01
612,1005,1.00,6.02
613,1003,1.00,6.03
614,1000,1.00,6.05
615,999,1.00,6.05
616,999,1.00,6.07
617,999,1.00,6.08
618,998,1.00,6.09
619,996,1.00,6.08
620,993,1.00,6.09
621,992,1.00,6.10
622,989,1.00,6.11
623,988,1.00,6.12
624,985,1.00,6.13
625,983,1.00,6.14
626,980,1.00,6.16
627,978,1.00,6.17
628,974,1.00,6.19
629,974,1.00,6.20
630,973,1.00,6.21
631,972,1.00,6.22
632,971,1.00,6.24
633,969,1.00,6.24
634,963,1.00,6.26
635,961,1.00,6.27
636,960,1.00,6.29
637,957,1.00,6.29
638,956,1.00,6.30
639,953,1.00,6.30
640,952,1.00,6.31
